ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
470,41,149,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,26.0,1054.5,6.2,-2.483,,LUC,2.0,Cocoa,woody,perennial_woody,5.0,0.0,15.0,7.5,1.0,5.9,12.0,64.5,5.9,22.6,1,-4.399999999999999,-16.29629629629629,2.0,-3.0,1.0
471,41,150,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,26.0,1054.5,6.2,-2.483,,LUC,15.0,Cocoa,woody,perennial_woody,5.0,0.0,15.0,7.5,1.0,5.4,12.0,44.5,5.4,17.6,1,-9.399999999999999,-34.81481481481481,2.0,-3.0,1.0
472,41,151,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,26.0,1054.5,6.2,-2.483,,LUC,,Cocoa,woody,perennial_woody,5.0,0.0,15.0,7.5,0.9,5.3,11.5,64.5,5.3,18.2,1,-4.199999999999999,-18.749999999999996,2.0,-3.0,1.0
477,43,154,Indonesia,Central_Sulawesi,Tropical,,Cambisol,23.0,2200.0,-1.3,120.0,,LUC,10.0,Cocoa,woody,perennial_woody,4.0,0.0,20.0,10.0,1.4,,,,4.1,3.37,1,-1.7299999999999995,-33.921568627450974,2.0,-3.0,1.0
478,43,155,Indonesia,Central_Sulawesi,Tropical,,Cambisol,23.0,2200.0,-1.3,120.0,,LUC,10.0,Cocoa,woody,perennial_woody,4.0,0.0,20.0,10.0,1.2,,,,3.8,4.39,1,-0.71,-13.92156862745098,2.0,-3.0,1.0
528,48,171,Brazil,Bahia,Tropical,,Oxisol,26.0,1500.0,-14.0,-39.2,,LUC,30.0,Cocoa,woody,perennial_woody,6.0,5.0,20.0,12.5,0.75,,,,,39.0,1,8.5,27.86885245901639,2.0,-3.0,1.0
532,48,172,Brazil,Bahia,Tropical,,Oxisol,26.0,1500.0,-14.0,-39.2,,LUC,30.0,Cocoa,woody,perennial_woody,6.0,5.0,20.0,12.5,1.2,,,,,54.0,1,23.5,77.04918032786885,2.0,-3.0,1.0
542,49,175,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Haplic_Regosol,17.3,470.0,37.77956,-3.3415,,LUC,16.0,Olive,woody,perennial_woody,1.0,0.0,24.0,12.0,1.36,40.0,45.0,15.0,8.2,39.7,1,18.810000000000002,90.0430828147439,2.0,-3.0,1.0
543,49,176,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Cutanic_Luvisols,17.3,470.0,37.77956,-3.3415,,LUC,16.0,Olive,woody,perennial_woody,1.0,0.0,24.0,12.0,1.35,55.0,30.0,15.0,8.0,79.21,1,27.709999999999994,53.80582524271843,2.0,-3.0,1.0
550,52,183,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.12,,,,8.4,12.28,1,-2.030000000000001,-14.18588399720476,2.0,1.0,4.0
551,52,184,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.14,,,,8.4,13.73,1,-1.3899999999999988,-9.193121693121684,2.0,1.0,4.0
552,52,185,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.17,,,,8.4,13.73,1,-1.4699999999999989,-9.67105263157894,2.0,1.0,4.0
553,52,186,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.12,,,,8.4,12.68,1,-1.6300000000000008,-11.39063591893781,2.0,1.0,4.0
554,52,187,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.16,,,,8.4,16.39,1,1.2700000000000014,8.39947089947091,2.0,1.0,4.0
555,52,188,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,16.6,462.0,40.3833,16.766,,LUC,0.6,Almond,woody,perennial_woody,1.0,0.0,15.0,7.5,1.1,,,,8.4,13.12,1,-2.08,-13.684210526315791,2.0,1.0,4.0
